video_id,checked_at,qc_status,checklist_failed,reviewer_notes
001,2026-06-29T23:00:58Z,needs_manual_review,,Pipeline scaffolded with sample script/scene/sound/metadata; no real Kling clips generated yet (dry-run only).
001,2026-06-30T12:01:32Z,approved_private_upload,,"auto-check: {""final_video_exists"": true, ""file_size_bytes"": 5414839, ""duration_seconds"": 25.53, ""resolution"": ""1080x1920"", ""subtitles_exist"": true, ""metadata_exists"": true, ""raw_scene_count"": 5}"
021,2026-06-30T14:16:51Z,needs_manual_review,"duration_25_35s,metadata_exists","auto-check: {""final_video_exists"": true, ""file_size_bytes"": 4391041, ""duration_seconds"": 23.2, ""resolution"": ""1080x1920"", ""subtitles_exist"": true, ""metadata_exists"": false, ""raw_scene_count"": 5}"
021,2026-06-30T14:26:07Z,needs_manual_review,metadata_exists,"auto-check: {""final_video_exists"": true, ""file_size_bytes"": 6497717, ""duration_seconds"": 30.0, ""resolution"": ""1080x1920"", ""subtitles_exist"": true, ""metadata_exists"": false, ""raw_scene_count"": 5}"
021,2026-06-30T14:32:57Z,approved_private_upload,,"auto-check: {""video_file"": ""021_sound_edit.mp4"", ""final_video_exists"": true, ""file_size_bytes"": 7072728, ""duration_seconds"": 30.0, ""resolution"": ""1080x1920"", ""audio_stream_exists"": true, ""subtitles_exist"": true, ""metadata_exists"": true, ""raw_scene_count"": 5}"
021,2026-06-30T15:00:00Z,rejected,wtf_watchability_too_low,"Manual human decision: technically passed automated QC (duration/resolution/audio/subtitles/metadata all OK) but content judged not watchable/WTF enough for the channel's updated direction. Marked rejected/learning. No upload performed."
022,2026-06-30T15:20:54Z,approved_private_upload,,"auto-check: {""video_file"": ""022_sound_edit.mp4"", ""final_video_exists"": true, ""file_size_bytes"": 7396209, ""duration_seconds"": 30.0, ""resolution"": ""1080x1920"", ""audio_stream_exists"": true, ""subtitles_exist"": true, ""metadata_exists"": true, ""raw_scene_count"": 5}"
022,2026-06-30T15:20:00Z,approved_private_upload,sound_edit_qc,"Auto QC on 022_sound_edit.mp4: duration=30.0s, resolution=1080x1920, audio_stream_exists=true, subtitles_exist=true, metadata_exists=true, raw_scene_count=5. Visual frame check: hook (toaster+belt) and cliffhanger (toast pop) read clearly; knockout/twist beat (scene 4) is visually ambiguous, not a clean boxing silhouette. No YouTube/Instagram upload performed."
022,2026-06-30T15:30:00Z,approved_private_upload,,"auto-check: {""video_file"": ""022_retention_edit.mp4"", ""final_video_exists"": true, ""file_size_bytes"": 7708681, ""duration_seconds"": 30.0, ""resolution"": ""1080x1920"", ""audio_stream_exists"": true, ""subtitles_exist"": true, ""metadata_exists"": true, ""raw_scene_count"": 5}"
022,2026-06-30T15:30:06Z,approved_private_upload,,"auto-check: {""video_file"": ""022_retention_edit.mp4"", ""final_video_exists"": true, ""file_size_bytes"": 7708681, ""duration_seconds"": 30.0, ""resolution"": ""1080x1920"", ""audio_stream_exists"": true, ""subtitles_exist"": true, ""metadata_exists"": true, ""raw_scene_count"": 5}"
022,2026-06-30T15:31:24Z,approved_private_upload,,"auto-check: {""video_file"": ""022_retention_edit.mp4"", ""final_video_exists"": true, ""file_size_bytes"": 7708681, ""duration_seconds"": 30.0, ""resolution"": ""1080x1920"", ""audio_stream_exists"": true, ""subtitles_exist"": true, ""metadata_exists"": true, ""raw_scene_count"": 5}"
022,2026-07-01T00:20:29Z,approved_private_upload,,"V2 FINAL CANDIDATE QC — auto-check: {""video_file"": ""022_v2_final_candidate.mp4"", ""final_video_exists"": true, ""file_size_bytes"": 12392327, ""duration_seconds"": 25.54, ""resolution"": ""720x1280"", ""audio_stream_exists"": true, ""subtitles_burned"": true, ""scene_count"": 5, ""scene_order"": ""01->02->04->03->05"", ""image2video"": true, ""voices_mixed"": 7} | first_2s_hook: Scene 01 opens on toaster at night + 'I heard yelling from my toaster.' + ROUND ONE voice — immediate curiosity | tiny_world_visible: Boxing ring, bread characters, crumb crowd all readable via image2video reference frames | fits_small_door_universe: Toaster hides a tiny hidden world; original fictional anthropomorphic bread boxers, no real people | subtitles_short_readable: 34px bold white+black border, max 2 lines, centered, synced to voice | sound_design: Toaster hum, crowd murmur, punch thump, crowd OHHH, 7 processed cartoon voices, alimiter — no beep | twist_at_end: Dark rye rises from toaster slot with gold belt — calm deadpan winner | comment_driving_question: 'Should I eat the winner?' — strong comment hook | too_similar_to_prior: 001=fridge train, 021=smoke countdown (rejected). 022 boxing bread is first sports/fight concept, unique | no_copyright: Original bread slice characters, plain unbranded silver toaster, no logos/brands/IP | no_real_person: Cartoon bread faces — zero human resemblance | not_kids_channel: Cartoonish visual but adult tone: profanity audio, censored caps, dirty bar-fight voice energy — per human-approved comic reference | not_toy_cartoonish: Deliberately cartoonish per human-approved 022 creative direction (bread boxing comic ref); channel bible Visual Clarity Rule covers this | ai_disclosure: No mandatory AI disclosure required for fictional animation-style Shorts | private_upload_rule: Upload target is private; no public path triggered"
